iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct,population,ghg_total_mt
EST,Estonia,2017,15.76337,Europe & Central Asia,34506.6486942506,27.5,100.0,0.0,1317384.0,0.02076641142408
FIN,Finland,2017,9.988059,Europe & Central Asia,47234.8528600939,44.4,100.0,0.0,5508214.0,0.055016366416626
FRA,France,2017,7.110206,Europe & Central Asia,44469.1458856805,14.1,100.0,0.0,66918020.0,0.47580090731211994
DEU,Germany,2017,10.616,Europe & Central Asia,54110.2536648812,15.2,100.0,0.0,82657002.0,0.877486733232
GRC,Greece,2017,8.950194,Europe & Central Asia,28681.6815585005,16.4,100.0,0.0,10754679.0,0.096256463457726
HUN,Hungary,2017,6.664885,Europe & Central Asia,29728.0121568801,14.6,100.0,0.0,9726756.0,0.06482771016306
ISL,Iceland,2017,14.21876,Europe & Central Asia,55638.4920591794,80.8,100.0,0.0,343400.0,0.004882722183999999
IRL,Ireland,2017,12.87677,Europe & Central Asia,80450.3529336506,10.1,100.0,0.0,4827445.0,0.06216189895265
ISR,Israel,2017,9.580019,Middle East & North Africa,39470.8681262164,3.9,100.0,0.0,8713300.0,0.0834735795527
ITA,Italy,2017,7.159425,Europe & Central Asia,42142.3435406885,16.4,100.0,0.0,60002252.0,0.4295816230251
JPN,Japan,2017,9.992245,East Asia & Pacific,41444.2157443912,6.9,100.0,0.0,126972000.0,1.2687353321400001
KOR,Korea,2017,14.74389,East Asia & Pacific,43155.9100867658,2.8,100.0,0.0,51361911.0,0.75727436597379
LVA,Latvia,2017,5.551417,Europe & Central Asia,25763.9907709703,42.6,100.0,0.0,1942248.0,0.010782228565415998
LTU,Lithuania,2017,7.007361,Europe & Central Asia,31305.0436934372,33.8,100.0,0.0,2842639.0,0.019919397665679
LUX,Luxembourg,2017,17.24055,Europe & Central Asia,114985.842235989,15.3,100.0,0.0,596336.0,0.0102811606248
MEX,Mexico,2017,6.142427,North America,20488.7150800441,10.1,100.0,0.0,123400057.0,0.757975841918339
NLD,Netherlands,2017,11.09322,Europe & Central Asia,56037.567993606,6.4,100.0,0.0,17131296.0,0.19004123541312
NZL,New Zealand,2017,17.17259,East Asia & Pacific,42243.5084459397,28.4,100.0,0.0,4813600.0,0.082661979224
NOR,Norway,2017,9.982174,Europe & Central Asia,64589.5559196863,58.9,100.0,0.0,5276968.0,0.05267561276843201
POL,Poland,2017,10.66434,Europe & Central Asia,30170.2818974087,11.1,100.0,0.0,37974826.0,0.40497645590484
PRT,Portugal,2017,6.846301,Europe & Central Asia,32970.8395386562,24.4,100.0,0.0,10300300.0,0.0705189541903
SVK,Slovak Republic,2017,7.744914,Europe & Central Asia,30245.7825869756,12.4,100.0,0.0,5439232.0,0.042126384066047996
SVN,Slovenia,2017,8.639655,Europe & Central Asia,36180.0384547624,19.7,100.0,0.0,2066388.0,0.017852879416139996
ESP,Spain,2017,7.111025,Europe & Central Asia,39825.2498116292,15.2,100.0,0.0,46571232.0,0.33116919503279996
SWE,Sweden,2017,5.199349,Europe & Central Asia,51474.1199115161,51.8,100.0,0.0,10057698.0,0.05229348203860199
CHE,Switzerland,2017,5.731875,Europe & Central Asia,68193.5055940262,25.0,100.0,0.0,8451840.0,0.048444890399999996
TUR,Türkiye,2017,6.407755,Europe & Central Asia,28353.5406410966,11.4,100.0,0.0,80312698.0,0.51462409217299
GBR,United Kingdom,2017,7.134717,Europe & Central Asia,46113.0211677324,8.8,100.0,0.0,65966000.0,0.47064874162200004
USA,United States,2017,19.71985,North America,60047.7190728307,9.7,100.0,0.0,326608609.0,6.44067277818865
DZA,Algeria,2017,5.087825,Middle East & North Africa,13493.560749484,0.1,99.5,0.0,41689299.0,0.21210785768467497
ARG,Argentina,2017,7.752652,Latin America & Caribbean,23385.0740904917,10.4,100.0,0.0,44288894.0,0.343356382646888
BLR,Belarus,2017,9.421781,Europe & Central Asia,18413.747563367,7.3,98.7,0.0,9458989.0,0.089120522839409
BRA,Brazil,2017,5.765045,Latin America & Caribbean,14559.0488897884,45.3,99.8,0.0,204703445.0,1.1801245720800249
BRN,Brunei Darussalam,2017,25.98647,East Asia & Pacific,61657.6802725444,0.0,100.0,0.0,432772.0,0.01124621659484
