iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct,log_gdp,energy_poverty_flag,green_by_choice_flag
IDN,Indonesia,2017,3.26231,,10935.6317158256,25.4328002929688,98.14,,4.038843875875975,0,1
KAZ,Kazakhstan,2017,20.84414,,24862.9661245889,1.98730003833771,100.0,,4.395552938251717,0,0
KEN,Kenya,2017,1.201175,,4046.23477111755,71.3200988769531,56.0914306640625,,3.6070510778521965,1,1
MYS,Malaysia,2017,9.808034,,26661.5074160333,5.22349977493286,100.0,,4.425884700365081,0,0
MDV,Maldives,2017,3.957199,,18058.5810797009,1.25460004806519,99.8,,4.256683623415745,0,0
MLT,Malta,2017,4.311118,,42644.0508459903,7.25339984893799,100.0,,4.62985845250304,0,0
MUS,Mauritius,2017,4.435731,,21415.1161096211,9.42230033874512,99.61,,4.330720433420005,0,0
MDA,Moldova,2017,4.155583,,11651.3174546862,26.0611000061035,99.98,,4.066375035314906,0,1
NAM,Namibia,2017,4.37755,,10171.4214929004,29.4083003997803,52.5,,4.0073816513871,1,1
NPL,Nepal,2017,1.670359,,3565.19780740052,76.4075012207031,89.9230804443359,,3.55208363075992,0,1
NGA,Nigeria,2017,1.497191,,5190.35612668836,82.649299621582,54.4,,3.7151971571836224,1,1
PAN,Panama,2017,4.376703,,30446.8372293853,23.5802001953125,93.7,,4.48354218546921,0,1
PER,Peru,2017,3.230646,,12506.5293750586,27.6040000915527,94.8,,4.097136807504817,0,1
ROU,Romania,2017,5.98312,,27141.9193326803,23.3785991668701,100.0,,4.433640555413585,0,1
RUS,Russia,2017,13.67797,,25926.4438539743,3.24760007858276,100.0,,4.4137429517670705,0,0
RWA,Rwanda,2017,0.7771127,,1975.24866113275,86.9050979614258,34.1,,3.2956217760941477,1,1
SRB,Serbia,2017,9.189626,,16611.0168589401,20.0942001342773,100.0,,4.220396219008246,0,0
SGP,Singapore,2017,10.00177,,95350.4356748021,0.690299987792969,100.0,,4.979322681763044,0,0
SLB,Solomon Islands,2017,0.8774037,,2663.93950830045,48.9770011901855,62.9,,3.425524358820489,1,1
ZAF,South Africa,2017,8.678108,,12701.3489331232,10.2253999710083,84.4,,4.1038498471844465,0,0
UKR,Ukraine,2017,7.236908,,11871.1236240918,6.46759986877441,100.0,,4.0744918276865025,0,0
UZB,Uzbekistan,2017,5.397403,,6518.8046866066,1.77110004425049,100.0,,3.8141679691058865,0,0
AUS,Australia,2015,22.76201,East Asia & Pacific,46288.3344786414,9.31550025939941,100.0,89.6256301102374,4.66547155451907,0,0
AUT,Austria,2015,9.180776,Europe & Central Asia,49865.9039424185,34.8772010803223,100.0,65.6618219894727,4.697803696105596,0,0
BEL,Belgium,2015,10.52475,Europe & Central Asia,46200.904454307,9.37609958648682,100.0,75.8707843536824,4.664650477626901,0,0
CAN,Canada,2015,20.63403,North America,44670.0805385838,22.6422004699707,100.0,74.089062024806,4.650016735490218,0,0
CHL,Chile,2015,5.585496,Latin America & Caribbean,22698.5456555402,25.0650997161865,99.714844,74.6472122625678,4.3559980319064415,0,1
COL,Colombia,2015,3.604959,Latin America & Caribbean,13265.7972569151,31.5995006561279,98.186898,,4.122733355628131,0,1
CRI,Costa Rica,2015,2.995665,Latin America & Caribbean,17090.7965760726,38.326301574707,99.409804,,4.232762304998709,0,1
CZE,Czechia,2015,11.94751,Europe & Central Asia,33899.2865661657,14.8454999923706,100.0,77.7345870580784,4.530190558272763,0,0
DNK,Denmark,2015,8.831057,Europe & Central Asia,49045.3391904109,32.9777984619141,100.0,64.9270894675666,4.69059774239769,0,0
EST,Estonia,2015,13.6325,Europe & Central Asia,29389.2553208368,27.5559997558594,100.0,13.0562153357344,4.468188581848431,0,0
FIN,Finland,2015,10.04057,Europe & Central Asia,42497.7049785783,43.2295989990234,100.0,40.2079829899529,4.628365477296151,0,0
FRA,France,2015,7.074852,Europe & Central Asia,40849.9973780501,13.4837999343872,100.0,46.4879708722364,4.61119203299332,0,0
DEU,Germany,2015,10.98749,Europe & Central Asia,47609.7810045816,14.5502996444702,100.0,78.862551056755,4.677696183811824,0,0
GRC,Greece,2015,8.878441,Europe & Central Asia,26721.1195242313,17.4748992919922,100.0,82.5746351336883,4.4268546496497185,0,0
HUN,Hungary,2015,6.342242,Europe & Central Asia,26777.4703988142,15.6000995635986,100.0,69.549793691078,4.4277695478916215,0,0
ISL,Iceland,2015,14.63909,Europe & Central Asia,49201.0640964553,77.1162033081055,100.0,11.288868750735,4.691974495576737,0,0
IRL,Ireland,2015,12.84987,Europe & Central Asia,69042.7681163893,9.09179973602295,100.0,85.3428197664443,4.839118195128553,0,0
ISR,Israel,2015,10.04037,Middle East & North Africa,35475.1772932563,3.73850011825562,100.0,97.3821241260262,4.549924574595769,0,0
ITA,Italy,2015,7.306344,Europe & Central Asia,36899.3852092463,16.570499420166,100.0,79.9484547354947,4.567019130320141,0,0
JPN,Japan,2015,10.23948,East Asia & Pacific,40388.5527720976,6.32340002059937,100.0,93.0264551074629,4.60625829153709,0,0
KOR,Korea,2015,14.24184,East Asia & Pacific,37902.4004037578,2.74399995803833,100.0,81.0284758071445,4.578666715221234,0,0
