iso3,country_name_ghg,year,ghg_per_capita,region,ghg_change_pct,ghg_change_abs
GEO,Georgia,2017,4.690071,,,
GHA,Ghana,2017,1.265825,,,
GTM,Guatemala,2017,1.852833,,,
GNB,Guinea-Bissau,2017,0.7177915,,,
GUY,Guyana,2017,6.172941,,,
VAT,Holy See,2017,30.69888,,,
IDN,Indonesia,2017,3.26231,,,
KAZ,Kazakhstan,2017,20.84414,,-17.1,-3.509
KEN,Kenya,2017,1.201175,,,
LIE,Liechtenstein,2017,5.090501,,-21.1,-1.13
MYS,Malaysia,2017,9.808034,,,
MDV,Maldives,2017,3.957199,,,
MLT,Malta,2017,4.311118,,-35.66,-2.336
MUS,Mauritius,2017,4.435731,,,
MDA,Moldova,2017,4.155583,,,
MCO,Monaco,2017,2.212514,,-34.6,-0.812
NAM,Namibia,2017,4.37755,,,
NPL,Nepal,2017,1.670359,,,
NGA,Nigeria,2017,1.497191,,,
PAN,Panama,2017,4.376703,,,
PER,Peru,2017,3.230646,,,
ROU,Romania,2017,5.98312,,-8.16,-0.482
RUS,Russia,2017,13.67797,,4.84,0.662
RWA,Rwanda,2017,0.7771127,,,
SRB,Serbia,2017,9.189626,,20.37,1.552
SGP,Singapore,2017,10.00177,,,
SLB,Solomon Islands,2017,0.8774037,,,
ZAF,South Africa,2017,8.678108,,,
UKR,Ukraine,2017,7.236908,,-23.14,-1.858
UZB,Uzbekistan,2017,5.397403,,,
VEN,Venezuela,2017,7.086742,,,
AUS,Australia,2015,22.76201,East Asia & Pacific,-12.36,-2.811
AUT,Austria,2015,9.180776,Europe & Central Asia,-16.71,-1.509
BEL,Belgium,2015,10.52475,Europe & Central Asia,-17.9,-1.829
CAN,Canada,2015,20.63403,North America,-15.83,-3.32
CHL,Chile,2015,5.585496,Latin America & Caribbean,,
COL,Colombia,2015,3.604959,Latin America & Caribbean,,
CRI,Costa Rica,2015,2.995665,Latin America & Caribbean,,
CZE,Czechia,2015,11.94751,Europe & Central Asia,-20.76,-2.474
DNK,Denmark,2015,8.831057,Europe & Central Asia,-30.06,-2.819
EST,Estonia,2015,13.6325,Europe & Central Asia,-50.24,-8.021
FIN,Finland,2015,10.04057,Europe & Central Asia,-31.68,-3.399
FRA,France,2015,7.074852,Europe & Central Asia,-19.77,-1.393
DEU,Germany,2015,10.98749,Europe & Central Asia,-27.61,-3.032
GRC,Greece,2015,8.878441,Europe & Central Asia,-23.45,-2.151
HUN,Hungary,2015,6.342242,Europe & Central Asia,-6.62,-0.398
ISL,Iceland,2015,14.63909,Europe & Central Asia,-17.54,-2.551
IRL,Ireland,2015,12.84987,Europe & Central Asia,-15.24,-1.9
ISR,Israel,2015,10.04037,Middle East & North Africa,-14.39,-1.417
ITA,Italy,2015,7.306344,Europe & Central Asia,-9.39,-0.669
JPN,Japan,2015,10.23948,East Asia & Pacific,-18.35,-1.932
KOR,Korea,2015,14.24184,East Asia & Pacific,,
LVA,Latvia,2015,5.437304,Europe & Central Asia,-1.44,-0.077
LTU,Lithuania,2015,6.762146,Europe & Central Asia,-5.17,-0.341
LUX,Luxembourg,2015,18.14989,Europe & Central Asia,-39.89,-7.75
MEX,Mexico,2015,6.157423,North America,,
NLD,Netherlands,2015,11.35148,Europe & Central Asia,-28.47,-3.128
NZL,New Zealand,2015,18.05449,East Asia & Pacific,-19.84,-3.655
NOR,Norway,2015,10.4499,Europe & Central Asia,-19.28,-2.015
POL,Poland,2015,9.996041,Europe & Central Asia,-9.57,-0.95
PRT,Portugal,2015,6.502329,Europe & Central Asia,-16.21,-0.985
SVK,Slovak Republic,2015,7.453356,Europe & Central Asia,-10.69,-0.783
SVN,Slovenia,2015,8.179931,Europe & Central Asia,-13.66,-1.105
ESP,Spain,2015,7.110942,Europe & Central Asia,-17.83,-1.222
SWE,Sweden,2015,5.437399,Europe & Central Asia,-23.73,-1.309
CHE,Switzerland,2015,5.914449,Europe & Central Asia,-23.99,-1.45
TUR,Türkiye,2015,6.017152,Europe & Central Asia,14.43,0.866
GBR,United Kingdom,2015,7.837874,Europe & Central Asia,-31.67,-2.602
USA,United States,2015,20.65523,North America,,
DZA,Algeria,2015,5.177589,Middle East & North Africa,,
ARG,Argentina,2015,7.907748,Latin America & Caribbean,,
BLR,Belarus,2015,9.338513,Europe & Central Asia,-3.37,-0.333
BRA,Brazil,2015,5.898276,,,
BRN,Brunei Darussalam,2015,26.25471,,,
BGR,Bulgaria,2015,8.418443,,-15.79,-1.252
CIV,Côte d’Ivoire,2015,1.878543,,,
HRV,Croatia,2015,5.916793,,13.3,0.766
CUB,Cuba,2015,5.264931,,,
CYP,Cyprus,2015,6.822128,,-8.21,-0.565
EGY,Egypt,2015,3.355361,,,
GEO,Georgia,2015,4.87484,,,
GHA,Ghana,2015,1.141843,,,
GTM,Guatemala,2015,1.855356,,,
GNB,Guinea-Bissau,2015,0.7274069,,,
GUY,Guyana,2015,6.085563,,,
VAT,Holy See,2015,30.24434,,,
IDN,Indonesia,2015,3.153344,,,
KAZ,Kazakhstan,2015,20.38768,,-17.1,-3.509
KEN,Kenya,2015,1.18458,,,
