iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct
RUS,Russia,2017,13.67797,,25926.4438539743,3.24760007858276,100.0,
RWA,Rwanda,2017,0.7771127,,1975.24866113275,86.9050979614258,34.1,
SRB,Serbia,2017,9.189626,,16611.0168589401,20.0942001342773,100.0,
SGP,Singapore,2017,10.00177,,95350.4356748021,0.690299987792969,100.0,
SLB,Solomon Islands,2017,0.8774037,,2663.93950830045,48.9770011901855,62.9,
ZAF,South Africa,2017,8.678108,,12701.3489331232,10.2253999710083,84.4,
UKR,Ukraine,2017,7.236908,,11871.1236240918,6.46759986877441,100.0,
UZB,Uzbekistan,2017,5.397403,,6518.8046866066,1.77110004425049,100.0,
VEN,Venezuela,2017,7.086742,,,14.3104000091553,99.2,
AUS,Australia,2015,22.76201,East Asia & Pacific,46288.3344786414,9.31550025939941,100.0,89.6256301102374
AUT,Austria,2015,9.180776,Europe & Central Asia,49865.9039424185,34.8772010803223,100.0,65.6618219894727
BEL,Belgium,2015,10.52475,Europe & Central Asia,46200.904454307,9.37609958648682,100.0,75.8707843536824
CAN,Canada,2015,20.63403,North America,44670.0805385838,22.6422004699707,100.0,74.089062024806
CHL,Chile,2015,5.585496,Latin America & Caribbean,22698.5456555402,25.0650997161865,99.714844,74.6472122625678
COL,Colombia,2015,3.604959,Latin America & Caribbean,13265.7972569151,31.5995006561279,98.186898,
CRI,Costa Rica,2015,2.995665,Latin America & Caribbean,17090.7965760726,38.326301574707,99.409804,
CZE,Czechia,2015,11.94751,Europe & Central Asia,33899.2865661657,14.8454999923706,100.0,77.7345870580784
DNK,Denmark,2015,8.831057,Europe & Central Asia,49045.3391904109,32.9777984619141,100.0,64.9270894675666
EST,Estonia,2015,13.6325,Europe & Central Asia,29389.2553208368,27.5559997558594,100.0,13.0562153357344
FIN,Finland,2015,10.04057,Europe & Central Asia,42497.7049785783,43.2295989990234,100.0,40.2079829899529
FRA,France,2015,7.074852,Europe & Central Asia,40849.9973780501,13.4837999343872,100.0,46.4879708722364
DEU,Germany,2015,10.98749,Europe & Central Asia,47609.7810045816,14.5502996444702,100.0,78.862551056755
GRC,Greece,2015,8.878441,Europe & Central Asia,26721.1195242313,17.4748992919922,100.0,82.5746351336883
HUN,Hungary,2015,6.342242,Europe & Central Asia,26777.4703988142,15.6000995635986,100.0,69.549793691078
ISL,Iceland,2015,14.63909,Europe & Central Asia,49201.0640964553,77.1162033081055,100.0,11.288868750735
IRL,Ireland,2015,12.84987,Europe & Central Asia,69042.7681163893,9.09179973602295,100.0,85.3428197664443
ISR,Israel,2015,10.04037,Middle East & North Africa,35475.1772932563,3.73850011825562,100.0,97.3821241260262
ITA,Italy,2015,7.306344,Europe & Central Asia,36899.3852092463,16.570499420166,100.0,79.9484547354947
JPN,Japan,2015,10.23948,East Asia & Pacific,40388.5527720976,6.32340002059937,100.0,93.0264551074629
KOR,Korea,2015,14.24184,East Asia & Pacific,37902.4004037578,2.74399995803833,100.0,81.0284758071445
LVA,Latvia,2015,5.437304,Europe & Central Asia,24961.3546830558,38.1002006530762,100.0,
LTU,Lithuania,2015,6.762146,Europe & Central Asia,28834.4276801135,28.9622993469238,100.0,
LUX,Luxembourg,2015,18.14989,Europe & Central Asia,103722.990846127,9.08520030975342,100.0,80.562295207665
MEX,Mexico,2015,6.157423,North America,18301.5004690469,9.19330024719238,99.0,90.4262079109407
NLD,Netherlands,2015,11.35148,Europe & Central Asia,50288.5913949377,5.71049976348877,100.0,93.4610046096056
NZL,New Zealand,2015,18.05449,East Asia & Pacific,37479.6829800129,31.1613998413086,100.0,59.7491685361223
NOR,Norway,2015,10.4499,Europe & Central Asia,60368.9208717485,58.13330078125,100.0,56.9516286499811
POL,Poland,2015,9.996041,Europe & Central Asia,26862.052515029,11.8677997589111,100.0,90.2913754356553
